Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth,"<div class=""sfx-features""><h3>Key Features</h3><ul><li><strong>ULTRA-LIGHTWEIGHT & ZERO-PRESSURE FIT</strong> — Built for the long haul, these wireless earbuds weigh a mere 0.11 oz—lighter than a sheet of paper. Whether it’s back-to-back Zoom calls, deep-focus study sessions, or an all-day podcast streak, you’ll forget you’re even wearing them. While others deal with ear fatigue, you’ll stay comfortable. Unlike silicone ear buds, our ergonomic semi-in-ear design lets your ears breathe. No pressure, no ""plugged-up"" feeling—just pure, effortless listening</li><li><strong>SLEEK, POCKET-SIZED & COMMUTER-READY</strong> — Ditch the bulk and bulging pockets. Smaller than a car key, DB Soundpods fit into your tightest jeans or tiniest clutch. From morning commutes to dog walks, these bluetooth earbuds blend into your rhythm. More than just tech, they’re a minimalist essential. With an IPX5 waterproof, these wireless headphones handle rain and sweat with ease—perfect for the modern professional on the go</li><li><strong>25H PLAYTIME & SMART LED DISPLAY</strong> — Nothing kills the vibe like a ""low battery"" alert when you’re ready to zone out. Our LED display ends the guessing game, telling you exactly when it’s time to charge. These earbuds pack 5 hours of play—25 total with the case. They aren't just bluetooth headphoness; they’re your escape from the hustle. With these wireless bluetooth earbuds, your music is always on when you need to disappear into the sound</li><li><strong>INSTANT PAIRING & TOUCH CONTROL</strong> — Stop waiting for that ""Searching..."" screen. With Bluetooth 5.3, DB Soundpods headphones the second you flip the lid. Whether you're juggling luggage at a busy airport or multitasking at home, stay hands-free. These earbuds wireless features let you skip tracks or take calls with a simple tap—phone stays in your pocket. With these earphones, it’s not just tech; it’s your life in sync</li><li><strong>BALANCED SOUND & CLEAR CALL</strong> — Savor the rich, balanced sound of our custom-tuned 13mm drivers. From the warm texture of a narrator’s voice to the crisp detail of every high note, these earbuds wireless bluetooth offer a front-row experience for your favorite podcasts and audiobooks. With high-sensitivity mics, your voice carries clearly on every call—exactly how it should be</li></ul></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Headphones Jack</strong></td><td>Wireless</td></tr><tr><td><strong>Model Name</strong></td><td>DB SoundPods</td></tr><tr><td><strong>Connectivity Technology</strong></td><td>Wireless</td></tr><tr><td><strong>Wireless Communication Technology</strong></td><td>Bluetooth</td></tr><tr><td><strong>Included Components</strong></td><td>Charging Case, Type-C Charging Cable, User Manual, headphones</td></tr><tr><td><strong>Age Range (Description)</strong></td><td>Adult</td></tr><tr><td><strong>Material</strong></td><td>Plastic</td></tr><tr><td><strong>Specific Uses For Product</strong></td><td>Running / Jogging / Biking / Traveling / Gym / Workout / Walking / Exercise / Gaming / Music Listening / Phone Calls / Outdoor Activity / Casual Use / Audiobook Listening / Podcast Listening / Sports Activity / Watching Videos / Working Out / Outdoor Use / Work Use / Backup Usage / Making Calls / Yard Work / Watching TV / Computer Use / Running Activity / Gym Activity / Sports Activities</td></tr><tr><td><strong>Charging Time</strong></td><td>5 Hours</td></tr><tr><td><strong>Recommended Uses For Product</strong></td><td>Audio Monitoring / Calling / Cycling / Disc Jockey Use / Exercising / Gaming / Motorcycling / Office Meetings / Radio Communication / Running / Skateboarding / Snowboarding / Studio</td></tr><tr><td><strong>Compatible Devices</strong></td><td>Compatible with Android, iPhone, Huawei, iPad, Sony Xperia, SAMSUNG Galaxy, Motorola Moto, Google Pixel, Nokia, OnePlus and other models of Android/IOS smartphones; Apple Watch, Tablet, Desktop Computer, Laptop, Smart Watch, TV and other devices with Bluetooth; Devices with bluetooth function can be connected with the headphones</td></tr><tr><td><strong>Control Type</strong></td><td>Touch Control / Call Control / Volume Control / Siri Touch Control / Smart Touch Control</td></tr><tr><td><strong>Cable Feature</strong></td><td>Without Cable</td></tr><tr><td><strong>Water Resistance Level</strong></td><td>Waterproof</td></tr><tr><td><strong>Style</strong></td><td>A bluetooth earbuds suitable for commuting, studying, working and leisure</td></tr><tr><td><strong>Control Method</strong></td><td>Touch</td></tr><tr><td><strong>Controller Type</strong></td><td>Touch Control</td></tr><tr><td><strong>Battery Life</strong></td><td>5 Hours</td></tr><tr><td><strong>Audio Driver Type</strong></td><td>Dynamic Driver</td></tr><tr><td><strong>Bluetooth Version</strong></td><td>5.3</td></tr><tr><td><strong>Earpiece Shape</strong></td><td>in-ear</td></tr><tr><td><strong>Hardware Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Input Device Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Supports Bluetooth Technology</strong></td><td>Yes</td></tr><tr><td><strong>Special Feature</strong></td><td>Lightweight, Sports & Exercise, Universal Phone Control, Volume Control, Water Resistant</td></tr><tr><td><strong>Product Dimensions</strong></td><td>1.96 x 0.95 x 1.96 inches</td></tr><tr><td><strong>Units</strong></td><td>1.0 Count</td></tr></table></div>",dbsono,,On-Ear Headphones,"Cat:Electronics, Cat:Headphones,-Earbuds-&-Accessories, Cat:Headphones-&-Earbuds, Cat:On-Ear-Headphones, Brand:dbsono, Feature:Bluetooth-5.3, Feature:IPX5-Waterproof, Feature:Touch-Control, Feature:Wireless, Feature:True-Wireless, Feature:TWS, Feature:Lightweight, Feature:Ergonomic, Keyword:Earbuds, Keyword:Headphones, Keyword:Ultra-lightweight, Keyword:All-day, Keyword:Comfort, Keyword:Tws, Keyword:Mic, Keyword:Playtime, Keyword:Earphones, Keyword:Ios, Keyword:Android, Keyword:Work, Keyword:Commute, Keyword:Study, Bestseller:Top-500, Bestseller:Top-1000, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B0FG2PMNS2,0,shopify,100,deny,manual,0,,TRUE,TRUE,,https://m.media-amazon.com/images/I/51x8Sq6QJ7L._AC_SL1500_.jpg,1,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - dbsono,FALSE,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight,"dbsono True Wireless Earbuds Bluetooth Headphones:. Features: ULTRA-LIGHTWEIGHT & ZERO-PRESSURE FIT, SLEEK, POCKET-SIZED & COMMUTER-READY, 25H PLAYTIME & SMART LED DISPLAY. Shop dbsono On-Ear Headphones.",,https://m.media-amazon.com/images/I/51x8Sq6QJ7L._AC_SL1500_.jpg,lb,,,TRUE,TRUE,,,draft
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61re-+vxSAL._AC_SL1500_.jpg,2,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - View 2,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71XFlBBrX-L._AC_SL1500_.jpg,3,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - View 3,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71nI12EU0-L._AC_SL1500_.jpg,4,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - View 4,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61AYB0-s+GL._AC_SL1500_.jpg,5,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - View 5,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71nqUjLVFJL._AC_SL1500_.jpg,6,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - Detail View,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71avqzIhKhL._AC_SL1500_.jpg,7,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - Detail View,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71D2RCsQuoL._AC_SL1500_.jpg,8,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - Detail View,,,,,,,,,,,,,
dbsono-true-wireless-earbuds-bluetooth-headphones-ultra-lightweight-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71QBZ4e8g8L._AC_SL1500_.jpg,9,dbsono True Wireless Earbuds Bluetooth Headphones: Ultra-Lightweight Bluetooth - Detail View,,,,,,,,,,,,,
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth","<div class=""sfx-features""><h3>Key Features</h3><ul><li><strong>Hi-Fi Deep Bass Stereo and Crystal Clear Calls</strong> — Bluetooth earphones 14.2mm large size speaker driver delivers powerful bass, mellow midrange, and clear treble, reproducing your music vividly to power your workout. Noise cancelling headphones are equipped with high quality ENC noise reduction mics to passively cancel 80% background noise so you and the caller can hear each other better and make crystal-clear calls with minimal background noise. Enjoy top-notch conversations wherever you are.</li><li><strong>75 Hours Playtime and Dual LED Display</strong> — Running headphones provides up to 15 hours continuous using time on a single charge, portable charging case can charge the earbuds for 5-6 times, giving 75 hours of a total playtime. Whether on the road or in daily life, it will provide unparalleled convenience and smart experience. The dual LED display on earphones accurately display the remaining power of charging case and the charging progress of Wireless ear buds.</li><li><strong>Leading Bluetooth 5.4 Technology and Easy Pairing</strong> — Features with the advanced Bluetooth 5.4 chip technology, Aptkdoe HD65 wireless headphones support HFP A2DP HSP AVRCP, which provides instant pairing and stable transmission without interruptions, with a stable connection distance of up to 33ft. The moment you open the case, the earbuds instantly and effortlessly pair with your previously connected device, sparing you from the hassle of manual pairing and long connection times.</li><li><strong>Sensitive Button Control and Wide Compatibility</strong> — Earbuds wireless bluetooth with button Control, you can control music play/pause, previous/next track, volume+/-, answer/reject, end calls and enable voice assistance by click buttons on earbuds. You can easily control it without operating the phone. You can listen to the music while running, working, reading, meeting, etc. Wireless earbuds bluetooth compatible with most bluetooth-enabled devices such as cellphones, tablets, laptop, ect.</li><li><strong>Ergonomic Sports Design and IPX7 Waterproof</strong> — The Wireless earbuds sport features ear hooks made of an innovative TPU (elastic) material that not only solves the problem of bluetooth earphones falling off when running, but is also comfortable to wear and anti-allergic. The earphones wireless bluetooth are equipped with nano-coated waterproof material, which can effectively prevent splash damage caused by sweat and raindrops, especially for jogging, gym, yoga and more sports.</li></ul></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Noise Control</strong></td><td>Active Noise Cancellation</td></tr><tr><td><strong>Headphones Jack</strong></td><td>No Jack</td></tr><tr><td><strong>Model Name</strong></td><td>HD65</td></tr><tr><td><strong>Connectivity Technology</strong></td><td>Wireless</td></tr><tr><td><strong>Wireless Communication Technology</strong></td><td>Bluetooth</td></tr><tr><td><strong>Included Components</strong></td><td>2 x Wireless earbuds sport 1 x Fast Charging Case 1 x USB-C Charging Cable 3 x Pairs of Earplugs (S, M, L) 1 x Instruction Manua</td></tr><tr><td><strong>Age Range (Description)</strong></td><td>Adult</td></tr><tr><td><strong>Material</strong></td><td>Thermoplastic Polyurethane</td></tr><tr><td><strong>Specific Uses For Product</strong></td><td>Sport</td></tr><tr><td><strong>Charging Time</strong></td><td>1.5 Hours</td></tr><tr><td><strong>Compatible Devices</strong></td><td>Cellphones, Tablets, Laptops</td></tr><tr><td><strong>Control Type</strong></td><td>Media Control</td></tr><tr><td><strong>Cable Feature</strong></td><td>Without Cable</td></tr><tr><td><strong>Water Resistance Level</strong></td><td>Water Resistant</td></tr><tr><td><strong>Control Method</strong></td><td>Push Button</td></tr><tr><td><strong>Number of Items</strong></td><td>1</td></tr><tr><td><strong>Battery Life</strong></td><td>15 Hours</td></tr><tr><td><strong>Audio Driver Type</strong></td><td>Dynamic Driver</td></tr><tr><td><strong>Bluetooth Range</strong></td><td>10 Meters</td></tr><tr><td><strong>Bluetooth Version</strong></td><td>5.4</td></tr><tr><td><strong>Carrying Case Material</strong></td><td>Plastic or Metal</td></tr><tr><td><strong>Carrying Case Color</strong></td><td>Black</td></tr><tr><td><strong>Audio Driver Size</strong></td><td>14.2 Millimeters</td></tr><tr><td><strong>Earpiece Shape</strong></td><td>Hook</td></tr><tr><td><strong>Series Number</strong></td><td>65</td></tr><tr><td><strong>Hardware Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Input Device Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Noise Control Features</strong></td><td>active_noise_cancellation</td></tr><tr><td><strong>Generation</strong></td><td>1</td></tr><tr><td><strong>Supports Bluetooth Technology</strong></td><td>Yes</td></tr><tr><td><strong>Special Feature</strong></td><td>75-Hour All-Day Playtime, Ergonomic & Secure Sports Design, Hi-Fi Sound with Deep Bass, Clear Calls with ENC Noise Reduction, Bluetooth 5.4 & Instant Auto-Pairing, Convenient Button Control, Wide Compatibility</td></tr><tr><td><strong>Package Dimensions</strong></td><td>4.33 x 3.98 x 1.65 inches</td></tr><tr><td><strong>Units</strong></td><td>1.0 Count</td></tr></table></div>",Aptkdoe,,Earbud Headphones,"Cat:Electronics, Cat:Headphones,-Earbuds-&-Accessories, Cat:Headphones-&-Earbuds, Cat:Earbud-Headphones, Brand:Aptkdoe, Feature:Bluetooth-5.4, Feature:Noise-Cancelling, Feature:ENC, Feature:IPX7-Waterproof, Feature:HiFi, Feature:Stereo, Feature:Deep-Bass, Feature:75Hr-Battery, Feature:Wireless, Feature:Portable, Feature:Ergonomic, Use:Gym, Use:Sports, Use:Running, Use:Workout, Keyword:Earbuds, Keyword:Headphone, Keyword:Sport, Keyword:Stereo, Keyword:Deep, Keyword:Bass, Keyword:Bud, Keyword:Earhooks, Keyword:Enc, Keyword:Mic, Keyword:Earphone, Keyword:Gym, Keyword:Running, Keyword:Workout, Bestseller:Top-100, Bestseller:Top-500, Bestseller:Top-1000, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B0CSXV3GK4,0,shopify,100,deny,manual,0,,TRUE,TRUE,,https://m.media-amazon.com/images/I/71NMUHszF4L._AC_SL1500_.jpg,1,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - Aptkdoe",FALSE,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026","Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone. Features: Hi-Fi Deep Bass Stereo and Crystal Clear Calls, 75 Hours Playtime and Dual LED Display, Leading Bluetooth 5.4 Technology and Easy Pairing. Shop Aptkdoe Earbud Headphones.",,https://m.media-amazon.com/images/I/71NMUHszF4L._AC_SL1500_.jpg,lb,,,TRUE,TRUE,,,draft
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71-WoPY0m6L._AC_SL1500_.jpg,2,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - View 2",,,,,,,,,,,,,
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71sUnjq4lML._AC_SL1500_.jpg,3,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - View 3",,,,,,,,,,,,,
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71+U98A5rPL._AC_SL1500_.jpg,4,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - View 4",,,,,,,,,,,,,
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71ZCw-AIN3L._AC_SL1500_.jpg,5,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - View 5",,,,,,,,,,,,,
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71ZqIWnBzUL._AC_SL1500_.jpg,6,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - Detail View",,,,,,,,,,,,,
aptkdoe-wireless-earbuds-75hrs-bluetooth-54-headphone-sport-2026-bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71RREu5yriL._AC_SL1500_.jpg,7,"Aptkdoe Wireless Earbuds 75hrs Bluetooth 5.4 Headphone Sport, 2026 Bluetooth - Detail View",,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple,"<div class=""sfx-features""><h3>Key Features</h3><ul><li>Up to 18 hours of battery life. Fast Fuel, a 5-minute charge, gives up to 1 hour of playback. POWER ADAPTER AND USB-C CHARGING CABLE SOLD SEPARATELY.</li><li>Custom acoustic architecture for big Beats sound with full range and clarity.</li><li>The smallest case we’ve ever made, making these powerful earbuds the perfect on-the-go companion.</li><li>Dual-layer drivers minimize distortion, ensuring high-fidelity sound.</li><li>Purposefully positioned axial-aligned drivers deliver sound directly to your ears.</li><li>Laser-cut vents further improve audio performance while relieving pressure for added comfort.</li><li>Charge directly from your phone, tablet or laptop for extra power on the go.</li><li>Dual compatibility for iOS and Android devices including seamless one-touch pairing.</li><li>Each earbud features custom-designed microphones powered by an advanced noise-learning algorithm for exceptional call quality.</li><li>Extended range and fewer dropouts thanks to industry-leading Class 1 Bluetooth .</li></ul></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Product Dimensions</strong></td><td>‎3.35 x 2.56 x 1.69 inches</td></tr><tr><td><strong>Units</strong></td><td>‎1.0 Count</td></tr><tr><td><strong>Number Of Items</strong></td><td>‎1</td></tr></table></div>",Beats,,,"Brand:Beats, Feature:Bluetooth-., Feature:USB-C, Feature:Wireless, Keyword:Solo, Keyword:Earbuds, Keyword:Battery, Keyword:Apple, Keyword:Android, Keyword:Compatibility, Keyword:Built-in, Keyword:Microphone, Keyword:Storm, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B0D3JBRJ27,0,shopify,100,deny,manual,0,,TRUE,TRUE,,https://m.media-amazon.com/images/I/411LKxGXIVL._AC_SL1500_.jpg,1,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - Beats,FALSE,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery,"Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours. Features: Product Dimensions, Units, Number Of Items. Shop Beats.",,https://m.media-amazon.com/images/I/411LKxGXIVL._AC_SL1500_.jpg,lb,,,TRUE,TRUE,,,draft
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61PGHx9zOQL._AC_SL1500_.jpg,2,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - View 2,,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/715-CC6JmSL._AC_SL1500_.jpg,3,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - View 3,,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/618WYlzAirL._AC_SL1500_.jpg,4,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - View 4,,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61m+Lg9ZquL._AC_SL1500_.jpg,5,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - View 5,,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51ZG3qlsJiL._AC_SL1500_.jpg,6,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - Detail View,,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61VV+eGLUIL._AC_SL1500_.jpg,7,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - Detail View,,,,,,,,,,,,,
beats-solo-buds-wireless-bluetooth-earbuds-18-hours-of-battery-life-apple,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61cMDoBK4LL._AC_SL1500_.jpg,8,Beats Solo Buds - Wireless Bluetooth Earbuds | 18 Hours of Battery Life | Apple - Detail View,,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones,","<div class=""sfx-features""><h3>Key Features</h3><ul><li>BATTERY LIFE - Up to 12 hours of listening time</li><li>CUSTOMIZED FIT - All-day comfort with Flex-Form cable and four eartip options</li><li>APPLE HEADPHONE CHIP - Powered by the Apple W1 headphone chip for seamless connectivity</li><li>THE MUSIC STOPS WHEN YOU DO - Magnetic earbuds with Auto-Play/Pause</li><li>LISTEN WITH A FRIEND - Audio Sharing lets you wirelessly share audio with another pair of Beats headphones or AirPods</li><li>EXTENDED WIRELESS RANGE - Class 1 Bluetooth for extended range and fewer dropouts</li><li>ON-DEVICE CONTROLS - On-device controls for music, calls, and voice assistant</li><li>BUILT-IN MICROPHONE - Built-in microphone with wind reduction for elevated voice clarity</li><li>COMPATIBILITY - Compatible with Apple and Android</li><li>WHAT'S IN THE BOX - Beats Flex wireless earphones, USB-C to USB-C charging cable, Eartips with four size options, Quick Start Guide, Warranty card (USB-C power adapter sold separately)</li></ul></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Product Dimensions</strong></td><td>‎3.15 x 1.26 x 4.8 inches</td></tr><tr><td><strong>Charging Time</strong></td><td>‎12 Hours</td></tr><tr><td><strong>Units</strong></td><td>‎1.0 Count</td></tr><tr><td><strong>Number Of Items</strong></td><td>‎1</td></tr></table></div>",Beats,,,"Brand:Beats, Feature:Bluetooth, Feature:USB-C, Feature:Voice-Control, Feature:Wireless, Keyword:Flex, Keyword:Earbuds, Keyword:Apple, Keyword:Headphone, Keyword:Chip, Keyword:Magnetic, Keyword:Earphones, Keyword:Class, Keyword:Listening, Keyword:Built-in, Keyword:Microphone, Keyword:Yuzu, Keyword:Yellow, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B08L6ZPV7T,0,shopify,100,deny,manual,0,,TRUE,TRUE,,https://m.media-amazon.com/images/I/51JPEkpWOCL._AC_SL1500_.jpg,1,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - Beats",FALSE,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic","Beats Flex Wireless Earbuds - Apple W1 Headphone Chip. Features: Product Dimensions, Charging Time, Units, Number Of Items. Shop Beats.",,https://m.media-amazon.com/images/I/51JPEkpWOCL._AC_SL1500_.jpg,lb,,,TRUE,TRUE,,,draft
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51skfRTbpKL._AC_SL1500_.jpg,2,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - View 2",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/6107XaUIEsL._AC_SL1500_.jpg,3,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - View 3",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71cMFhWc5mL._AC_SL1500_.jpg,4,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - View 4",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71PapAfm5UL._AC_SL1500_.jpg,5,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - View 5",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61TKiB6GtgL._AC_SL1500_.jpg,6,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - Detail View",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61cIZ2uX26L._AC_SL1500_.jpg,7,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - Detail View",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61cFPQb4GgL._AC_SL1500_.jpg,8,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - Detail View",,,,,,,,,,,,,
beats-flex-wireless-earbuds-apple-w1-headphone-chip-magnetic-earphones,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71SiCZpfR4L._AC_SL1500_.jpg,9,"Beats Flex Wireless Earbuds - Apple W1 Headphone Chip, Magnetic Earphones, - Detail View",,,,,,,,,,,,,
